Date,Date_th,num3_top,num2_top,num2
16/10/97,16/10/40,124,24,98
1/10/97,1/10/40,413,13,24
16/9/97,16/9/40,514,14,98
1/9/97,1/9/40,537,37,59
16/8/97,16/8/40,967,67,30
1/8/97,1/8/40,272,72,31
16/7/97,16/7/40,691,91,67
1/7/97,1/7/40,573,73,11
16/6/97,16/6/40,146,46,61
1/6/97,1/6/40,997,97,24
16/5/97,16/5/40,67,67,52
2/5/97,2/5/40,437,37,38
16/4/97,16/4/40,450,50,92
1/4/97,1/4/40,629,29,52
16/3/97,16/3/40,474,74,36
1/3/97,1/3/40,779,79,98
16/2/97,16/2/40,884,84,94
1/2/97,1/2/40,792,92,57
16/1/97,16/1/40,995,95,47
30/12/96,30/12/39,454,54,26
16/12/96,16/12/39,856,56,44
1/12/96,1/12/39,528,28,66
16/11/96,16/11/39,88,88,21
1/11/96,1/11/39,694,94,24
16/10/96,16/10/39,19,19,18
1/10/96,1/10/39,788,88,97
16/9/96,16/9/39,368,68,59
1/9/96,1/9/39,136,36,02
16/8/96,16/8/39,768,68,19
1/8/96,1/8/39,91,91,61
16/7/96,16/7/39,687,87,91
1/7/96,1/7/39,379,79,76
16/6/96,16/6/39,311,11,21
1/6/96,1/6/39,656,56,81
17/5/96,17/5/39,140,40,75
2/5/96,2/5/39,351,51,54
16/4/96,16/4/39,584,84,77
1/4/96,1/4/39,765,65,90
16/3/96,16/3/39,128,28,27
1/3/96,1/3/39,855,55,72
16/2/96,16/2/39,455,55,49
1/2/96,1/2/39,556,56,26
16/1/96,16/1/39,302,2,21
30/12/95,30/12/38,686,86,04
16/12/95,16/12/38,808,8,68
1/12/95,1/12/38,426,26,74
16/11/95,16/11/38,422,22,85
1/11/95,1/11/38,69,69,07
16/10/95,16/10/38,154,54,86
1/10/95,1/10/38,92,92,76
16/9/95,16/9/38,454,54,51
1/9/95,1/9/38,837,37,83
16/8/95,16/8/38,333,33,51
1/8/95,1/8/38,819,19,59
16/7/95,16/7/38,122,22,96
1/7/95,1/7/38,901,1,19
16/6/95,16/6/38,698,98,82
1/6/95,1/6/38,615,15,17
17/5/95,17/5/38,381,81,55
2/5/95,2/5/38,692,92,88
16/4/95,16/4/38,581,81,99
1/4/95,1/4/38,39,39,06
16/3/95,16/3/38,847,47,67
1/3/95,1/3/38,454,54,71
16/2/95,16/2/38,70,70,95
1/2/95,1/2/38,162,62,48
16/1/95,16/1/38,388,88,40
30/12/94,30/12/37,69,69,90
16/12/94,16/12/37,40,40,50
1/12/94,1/12/37,681,81,02
16/11/94,16/11/37,849,49,82
1/11/94,1/11/37,779,79,76
16/10/94,16/10/37,48,48,79
1/10/94,1/10/37,442,42,23
16/9/94,16/9/37,931,31,88
1/9/94,1/9/37,893,93,67
16/8/94,16/8/37,760,60,28
1/8/94,1/8/37,57,57,85
16/7/94,16/7/37,891,91,74
1/7/94,1/7/37,267,67,39
16/6/94,16/6/37,355,55,53
1/6/94,1/6/37,804,4,17
16/5/94,16/5/37,764,64,29
2/5/94,2/5/37,877,77,69
16/4/94,16/4/37,913,13,21
1/4/94,1/4/37,815,15,29
16/3/94,16/3/37,336,36,19
1/3/94,1/3/37,731,31,41
16/2/94,16/2/37,44,44,76
1/2/94,1/2/37,685,85,05
16/1/94,16/1/37,270,70,23
30/12/93,30/12/36,189,89,72
16/12/93,16/12/36,500,0,69
1/12/93,1/12/36,638,38,98
16/11/93,16/11/36,123,23,82
1/11/93,1/11/36,940,40,94
16/10/93,16/10/36,764,64,58
1/10/93,1/10/36,973,73,26
16/9/93,16/9/36,755,55,11
1/9/93,1/9/36,96,96,00
16/8/93,16/8/36,644,44,86
1/8/93,1/8/36,744,44,06
16/7/93,16/7/36,61,61,21
1/7/93,1/7/36,203,3,29
16/6/93,16/6/36,871,71,39
1/6/93,1/6/36,477,77,61
16/5/93,16/5/36,983,83,53
2/5/93,2/5/36,508,8,99
16/4/93,16/4/36,18,18,09
1/4/93,1/4/36,558,58,89
16/3/93,16/3/36,699,99,98
1/3/93,1/3/36,281,81,19
16/2/93,16/2/36,455,55,41
1/2/93,1/2/36,337,37,21
16/1/93,16/1/36,816,16,25
30/12/92,30/12/35,150,50,23
16/12/92,16/12/35,531,31,92
1/12/92,1/12/35,927,27,65
16/11/92,16/11/35,682,82,45
1/11/92,1/11/35,821,21,35
